Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00-05:00,28.899999618530273,31.704999923706055,27.799999237060547,30.399999618530273,17991200,0.0,0.0
2020-01-08 00:00:00-05:00,30.06999969482422,30.260000228881836,26.889999389648438,29.690000534057617,28418400,0.0,0.0
2020-01-15 00:00:00-05:00,30.959999084472656,33.70000076293945,29.77400016784668,32.0,22269600,0.0,0.0
2020-01-22 00:00:00-05:00,32.31999969482422,33.20000076293945,28.850000381469727,31.3799991607666,21868800,0.0,0.0
2020-01-29 00:00:00-05:00,32.36000061035156,34.599998474121094,30.809999465942383,33.470001220703125,23155600,0.0,0.0
2020-02-05 00:00:00-05:00,34.040000915527344,34.09000015258789,27.049999237060547,28.649999618530273,35486900,0.0,0.0
2020-02-12 00:00:00-05:00,28.84000015258789,30.270000457763672,26.84000015258789,27.079999923706055,14955200,0.0,0.0
2020-02-19 00:00:00-05:00,27.299999237060547,28.020000457763672,24.520000457763672,27.110000610351562,49927000,0.0,0.0
2020-02-26 00:00:00-05:00,27.950000762939453,29.639999389648438,25.924999237060547,26.684999465942383,43865800,0.0,0.0
2020-03-04 00:00:00-05:00,27.010000228881836,27.450000762939453,22.309999465942383,22.969999313354492,29890200,0.0,0.0
2020-03-11 00:00:00-04:00,22.5,27.0,17.700000762939453,25.450000762939453,51656400,0.0,0.0
2020-03-18 00:00:00-04:00,24.5,27.3799991607666,21.780000686645508,24.56999969482422,36193500,0.0,0.0
2020-03-25 00:00:00-04:00,24.56999969482422,28.670000076293945,23.670000076293945,26.549999237060547,31736600,0.0,0.0
2020-04-01 00:00:00-04:00,26.440000534057617,29.450000762939453,25.850000381469727,27.579999923706055,39365000,0.0,0.0
2020-04-08 00:00:00-04:00,27.299999237060547,32.47999954223633,26.90999984741211,31.8799991607666,24259100,0.0,0.0
2020-04-15 00:00:00-04:00,32.130001068115234,38.08000183105469,29.510000228881836,31.389999389648438,55338600,0.0,0.0
2020-04-22 00:00:00-04:00,31.799999237060547,33.736000061035156,29.329999923706055,30.0,41611000,0.0,0.0
2020-04-29 00:00:00-04:00,29.670000076293945,36.36000061035156,29.639999389648438,36.220001220703125,40027600,0.0,0.0
2020-05-06 00:00:00-04:00,36.83000183105469,47.83000183105469,35.209999084472656,46.16999816894531,140125900,0.0,0.0
2020-05-13 00:00:00-04:00,46.689998626708984,49.68000030517578,42.38999938964844,44.79999923706055,68504700,0.0,0.0
2020-05-20 00:00:00-04:00,44.849998474121094,46.869998931884766,41.68000030517578,41.70000076293945,25595300,0.0,0.0
2020-05-27 00:00:00-04:00,41.0,49.29999923706055,38.79999923706055,49.0099983215332,49420800,0.0,0.0
2020-06-03 00:00:00-04:00,48.209999084472656,49.189998626708984,42.900001525878906,47.63999938964844,38102400,0.0,0.0
2020-06-10 00:00:00-04:00,48.20000076293945,51.45000076293945,45.5099983215332,49.90999984741211,42015800,0.0,0.0
2020-06-17 00:00:00-04:00,50.119998931884766,56.599998474121094,48.72999954223633,54.880001068115234,52740500,0.0,0.0
2020-06-24 00:00:00-04:00,55.97999954223633,60.0,52.41999816894531,57.77000045776367,53846400,0.0,0.0
2020-07-01 00:00:00-04:00,57.540000915527344,62.34000015258789,56.91999816894531,60.81999969482422,26611000,0.0,0.0
2020-07-08 00:00:00-04:00,61.040000915527344,69.72799682617188,60.099998474121094,62.95000076293945,45472900,0.0,0.0
2020-07-15 00:00:00-04:00,61.43000030517578,65.30999755859375,58.22999954223633,62.880001068115234,37523600,0.0,0.0
2020-07-22 00:00:00-04:00,62.900001525878906,66.87000274658203,59.68000030517578,64.11000061035156,22965500,0.0,0.0
2020-07-29 00:00:00-04:00,64.72000122070312,73.20999908447266,62.720001220703125,70.01000213623047,31012000,0.0,0.0
2020-08-05 00:00:00-04:00,69.7300033569336,72.5,64.1500015258789,64.95999908447266,22335100,0.0,0.0
2020-08-12 00:00:00-04:00,65.20999908447266,70.77999877929688,62.5,69.81999969482422,29975700,0.0,0.0
2020-08-19 00:00:00-04:00,69.31999969482422,70.94999694824219,65.29000091552734,66.44999694824219,20143400,0.0,0.0
2020-08-26 00:00:00-04:00,66.97000122070312,84.62999725341797,66.73500061035156,83.66999816894531,61955000,0.0,0.0
2020-09-02 00:00:00-04:00,91.80000305175781,92.5,72.11000061035156,85.5999984741211,90223400,0.0,0.0
2020-09-09 00:00:00-04:00,90.16000366210938,98.61000061035156,78.83000183105469,85.44999694824219,294229400,0.0,0.0
2020-09-16 00:00:00-04:00,83.7699966430664,96.5,79.0199966430664,94.38999938964844,194811300,0.0,0.0
2020-09-23 00:00:00-04:00,95.80999755859375,102.83000183105469,88.0,100.47000122070312,211372100,0.0,0.0
2020-09-30 00:00:00-04:00,99.98999786376953,113.87000274658203,98.09500122070312,111.30999755859375,111076200,0.0,0.0
2020-10-07 00:00:00-04:00,113.4800033569336,131.9199981689453,113.01000213623047,130.97000122070312,92844600,0.0,0.0
2020-10-14 00:00:00-04:00,132.11000061035156,139.75,126.55000305175781,131.92999267578125,131369300,0.0,0.0
2020-10-21 00:00:00-04:00,132.7899932861328,136.9499969482422,116.0979995727539,121.1500015258789,75413200,0.0,0.0
2020-10-28 00:00:00-04:00,122.11000061035156,124.9000015258789,109.01000213623047,111.69999694824219,49826200,0.0,0.0
2020-11-04 00:00:00-05:00,113.98999786376953,132.7899932861328,92.02999877929688,105.20999908447266,130527700,0.0,0.0
2020-11-11 00:00:00-05:00,103.0,112.0,95.86000061035156,102.48999786376953,87587300,0.0,0.0
2020-11-18 00:00:00-05:00,101.48999786376953,113.94000244140625,100.26000213623047,105.41999816894531,61955100,0.0,0.0
